id,name,type,level,level_codes,city,state,zip_code,district,latitude,longitude,rating,rating_year,distance
606328,Vista High School,public,"9,10,11,12",h,Vista,CA,92084,Vista Unified School District,33.223701,-117.241127,4,2020,25.5190314
616896,Maryland Elementary School,public,"KG,1,2,3,4,5",e,Vista,CA,92083,Vista Unified School District,33.214821,-117.260628,3,2020,25.55102713
613792,SIATech School,charter,"11,12",h,Oceanside,CA,92056,Vista Unified School District,33.216091,-117.26989,1,2020,25.9083848
605865,Buena Vista Elementary School,public,"KG,1,2,3,4,5",e,Carlsbad,CA,92008,Carlsbad Unified School District,33.169758,-117.34301,7,2020,26.01026943
632444,Audeo Charter School II,charter,"KG,1,2,3,4,5,6,7,8,9,10,11,12","e,m,h",Carlsbad,CA,92008,Sbe - Audeo Charter II,33.178326,-117.332336,4,2020,26.01976773
612481,T.H.E Leadership Academy,public,"KG,1,2,3,4,5",e,Oceanside,CA,92056,Vista Unified School District,33.218586,-117.269447,5,2020,26.04057191
632713,Coastal Academy Charter,charter,"KG,1,2,3,4,5,6,7,8,9,10,11,12","e,m,h",Oceanside,CA,92056,Oceanside Unified School District,33.206524,-117.292923,6,2020,26.10441299
606319,Guajome Park Academy Charter,charter,"KG,1,2,3,4,5,6,7,8,9,10,11,12","e,m,h",Vista,CA,92083,Vista Unified School District,33.230122,-117.248772,6,2020,26.12048852
625637,Guajome Learning Center,charter,"KG,1,2,3,4,5,6,7,8,9,10,11,12","e,m,h",Vista,CA,92083,Vista Unified School District,33.230576,-117.250137,6,2020,26.18616638
606010,Christa Mcauliffe Elementary School,public,"KG,1,2,3,4,5",e,Oceanside,CA,92056,Oceanside Unified School District,33.199448,-117.307037,4,2020,26.1992121
611128,Valley Center High,public,"9,10,11,12",h,Valley Center,CA,92082,Valley Center-Pauma Unified School District,33.279987,-117.02401,5,2020,26.32163496
611844,Oak Glen High School,public,"9,10,11,12",h,Valley Center,CA,92082,Valley Center-Pauma Unified School District,33.282681,-117.026245,2,2020,26.50610809
625173,San Diego Neighborhood Homeschools,charter,"KG,1,2,3,4,5,6,7,8,9,10,11,12","e,m,h",Oceanside,CA,92056,Mountain Empire Unified School District,33.208,-117.303032,2,2020,26.53085488
606317,Empresa Elementary School,public,"KG,1,2,3,4,5",e,Oceanside,CA,92056,Vista Unified School District,33.223427,-117.288773,8,2020,26.92851417
606018,South Oceanside Elementary School,public,"KG,1,2,3,4,5",e,Oceanside,CA,92054,Oceanside Unified School District,33.177113,-117.356873,4,2020,26.93410964
611126,Pacific View Charter School,charter,"KG,1,2,3,4,5,6,7,8,9,10,11,12","e,m,h",Oceanside,CA,92056,Oceanside Unified School District,33.210648,-117.311508,2,2020,26.97095082
606004,Ivey Ranch Elementary School,public,"KG,1,2,3,4,5",e,Oceanside,CA,92057,Oceanside Unified School District,33.218555,-117.300995,8,2020,27.05213069
606006,Martin Luther King Jr. Middle School,public,"6,7,8",m,Oceanside,CA,92057,Oceanside Unified School District,33.215111,-117.309723,6,2020,27.15588999
606016,Palmquist Elementary School,public,"KG,1,2,3,4,5",e,Oceanside,CA,92054,Oceanside Unified School District,33.187599,-117.350998,5,2020,27.22195186
606323,Mission Meadows Elementary School,public,"KG,1,2,3,4,5",e,Oceanside,CA,92057,Vista Unified School District,33.24622,-117.256958,6,2020,27.32307033
606009,Lincoln Middle School,public,"6,7,8",m,Oceanside,CA,92054,Oceanside Unified School District,33.188961,-117.352097,5,2020,27.33412144
606327,Roosevelt Middle School,public,"6,7,8",m,Oceanside,CA,92057,Vista Unified School District,33.235546,-117.280724,3,2020,27.37969602
606309,Alamosa Park Elementary School,public,"KG,1,2,3,4,5",e,Oceanside,CA,92057,Vista Unified School District,33.239193,-117.281708,7,2020,27.62372339
606002,El Camino High School,public,"9,10,11,12",h,Oceanside,CA,92057,Oceanside Unified School District,33.219131,-117.317436,6,2020,27.64522102
605938,Julian High School,public,"9,10,11,12",h,Julian,CA,92036,Julian Union High School District,33.076538,-116.59539,6,2020,28.06270024
611103,Julian Charter School,charter,"KG,1,2,3,4,5,6,7,8,9,10,11,12","e,m,h",Julian,CA,92036,Julian Union Elementary School District,33.078079,-116.59581,6,2020,28.08733083
625014,Mission Vista High School,public,"9,10,11,12",h,Oceanside,CA,92057,Vista Unified School District,33.256004,-117.264168,10,2020,28.11611157
