"period_begin","period_end","period_duration","region_type","region_type_id","table_id","is_seasonally_adjusted","region","city","state","state_code","property_type","property_type_id","median_sale_price","median_sale_price_mom","median_sale_price_yoy","median_list_price","median_list_price_mom","median_list_price_yoy","median_ppsf","median_ppsf_mom","median_ppsf_yoy","median_list_ppsf","median_list_ppsf_mom","median_list_ppsf_yoy","homes_sold","homes_sold_mom","homes_sold_yoy","pending_sales","pending_sales_mom","pending_sales_yoy","new_listings","new_listings_mom","new_listings_yoy","inventory","inventory_mom","inventory_yoy","months_of_supply","months_of_supply_mom","months_of_supply_yoy","median_dom","median_dom_mom","median_dom_yoy","avg_sale_to_list","avg_sale_to_list_mom","avg_sale_to_list_yoy","sold_above_list","sold_above_list_mom","sold_above_list_yoy","price_drops","price_drops_mom","price_drops_yoy","off_market_in_two_weeks","off_market_in_two_weeks_mom","off_market_in_two_weeks_yoy","parent_metro_region","parent_metro_region_metro_code","last_updated"
"1/1/2020","3/31/2020",90,"neighborhood",1,547550,"f","San Diego, CA - Auberge at del Sur","San Diego","California","CA","Condo/Co-op",3,767500,0,NA,808000,0,NA,601.4890282,0,NA,633.2288401,0,NA,2,0,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,84.5,0,NA,0.985486191,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,"San Diego, CA",41740,"9/11/2022 14:46"
"6/1/2015","8/31/2015",90,"neighborhood",1,2802,"f","San Diego, CA - University City","San Diego","California","CA","All Residential",-1,450000,0.061320755,0.153846154,490000,-0.01990199,0.102982555,383.6799381,-0.003499079,0.0293852,389.6604938,-0.025848765,0.00320327,160,0,0.391304348,53,0.127659574,0.606060606,179,-0.042780749,0.078313253,93,-0.105769231,-0.321167883,NA,NA,NA,26,6,1,0.978053793,-0.001757044,0.000808489,0.125,-0.03125,0.04673913,NA,NA,NA,0.396226415,-0.135688479,0.153802173,"San Diego, CA",41740,"9/11/2022 14:46"
"10/1/2014","12/31/2014",90,"neighborhood",1,547183,"f","San Diego, CA - Point Loma Peninsula","San Diego","California","CA","All Residential",-1,699000,-0.001428571,0.106888361,737000,0.053986414,0.080645161,438.0182954,0.012698299,0.091301169,438.9060432,-0.040444386,-0.010919143,155,-0.114285714,-0.03125,37,-0.177777778,-0.159090909,158,-0.225490196,0.112676056,134,-0.207100592,0.185840708,NA,NA,NA,41,0,7,0.967823356,0.003641071,-0.005318237,0.122580645,0.025437788,-0.027419355,NA,NA,NA,0.189189189,-0.277477477,0.007371007,"San Diego, CA",41740,"9/11/2022 14:46"
"9/1/2021","11/30/2021",90,"neighborhood",1,1735,"f","San Diego, CA - Mission Hills","San Diego","California","CA","Townhouse",13,1200000,0,1.086956522,NA,NA,NA,447.2605293,0,-0.00435917,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,0,28,1.000834028,0,0.050420805,1,0,1,NA,NA,NA,NA,NA,NA,"San Diego, CA",41740,"9/11/2022 14:46"
"4/1/2016","6/30/2016",90,"neighborhood",1,115412,"f","San Diego, CA - Gaslamp","San Diego","California","CA","Condo/Co-op",3,535000,-0.005576208,0.475862069,431950,-0.05973957,0.067861557,580.7086614,-0.015601674,0.092819207,600.3174335,0.063581286,0.186843079,11,0.222222222,-0.083333333,1,-0.75,-0.666666667,12,0.2,0,9,0.5,0.5,NA,NA,NA,33,3,-24,0.979656945,-0.006863288,0.015647139,0.272727273,-0.060606061,0.189393939,NA,NA,NA,1,0.25,1,"San Diego, CA",41740,"9/11/2022 14:46"
"2/1/2012","4/30/2012",90,"neighborhood",1,2802,"f","San Diego, CA - University City","San Diego","California","CA","All Residential",-1,314500,0.048333333,0.069727891,389900,0.05951087,0.117191977,275.5049711,0.016921824,-0.036632944,300.1035197,0.022579897,-0.022651373,110,0.089108911,-0.075630252,39,0.114285714,0.114285714,135,0.062992126,-0.150943396,87,-0.033333333,-0.5,NA,NA,NA,37,-19.5,-38.5,0.970215647,0.010388676,0.000298199,0.190909091,0.06219622,0.014438503,NA,NA,NA,0.487179487,-0.027106227,0.201465201,"San Diego, CA",41740,"9/11/2022 14:46"
"4/1/2022","6/30/2022",90,"neighborhood",1,2316,"f","San Diego, CA - Rolando","San Diego","California","CA","All Residential",-1,867000,-0.013651877,0.212587413,819500,-0.035882353,0.150175439,657.9620067,-0.000649706,0.193589369,647.052404,-0.015941136,0.193608145,24,0.142857143,0.043478261,4,-0.636363636,-0.692307692,22,-0.185185185,-0.352941176,5,0.25,-0.375,NA,NA,NA,9,0,2,1.040730484,-0.006447727,-0.01255741,0.583333333,-0.035714286,-0.242753623,NA,NA,NA,0.5,-0.045454545,-0.115384615,"San Diego, CA",41740,"9/11/2022 14:46"
"2/1/2018","4/30/2018",90,"neighborhood",1,2400,"f","San Diego, CA - Scripps Miramar Ranch","San Diego","California","CA","Single Family Residential",6,932000,0.005393743,0.154179567,925000,-0.01538134,0.070601852,393.6515539,0.00359517,0.100680271,412.9122155,0.021583586,0.136261804,40,0.212121212,0.25,13,0,-0.133333333,55,0.25,0.195652174,22,1.2,0.571428571,NA,NA,NA,10,0,-6.5,0.991960109,-0.000925407,0.005739578,0.3,-0.003030303,-0.075,NA,NA,NA,0.769230769,0.076923077,0.102564103,"San Diego, CA",41740,"9/11/2022 14:46"
"4/1/2015","6/30/2015",90,"neighborhood",1,547183,"f","San Diego, CA - Point Loma Peninsula","San Diego","California","CA","Single Family Residential",6,877000,0.008045977,0.120051086,895000,-0.042780749,-0.004449388,544.3333333,0.04307875,0.129880476,552.855407,0.004926846,0.115036086,107,0,-0.069565217,29,0.16,-0.121212121,115,-0.094488189,-0.228187919,90,-0.072164948,-0.203539823,NA,NA,NA,36,0.5,8,0.974889531,-0.002307687,0.004216501,0.186915888,-0.028037383,0.065176757,NA,NA,NA,0.275862069,-0.284137931,-0.269592476,"San Diego, CA",41740,"9/11/2022 14:46"
"11/1/2019","1/31/2020",90,"neighborhood",1,110722,"f","San Diego, CA - Southern San Diego","San Diego","California","CA","Multi-Family (2-4 Unit)",4,588500,0.005982906,-0.234720416,734450,-0.030429043,0.050715308,325,-0.03083295,0.016247701,380.5067794,-0.104689931,-0.042162189,8,0.142857143,0.333333333,1,0,-0.666666667,10,-0.166666667,-0.230769231,18,0.2,0.384615385,NA,NA,NA,90.5,6.5,-4.5,0.974235751,0.003680607,0.012200255,0.125,-0.017857143,0.125,NA,NA,NA,0,0,-0.666666667,"San Diego, CA",41740,"9/11/2022 14:46"
"2/1/2019","4/30/2019",90,"neighborhood",1,557417,"f","San Diego, CA - Otay Mesa Southwest District","San Diego","California","CA","Condo/Co-op",3,446500,0,0.082424242,439999,0,0.002275626,252.740303,0,-0.081547092,256.8587274,0,-0.026604148,2,0,0,2,1,1,5,0.666666667,-0.285714286,2,0,-0.333333333,NA,NA,NA,49,0,25.5,0.986881476,0,-0.00199371,0,0,-0.5,NA,NA,NA,0.5,-0.5,0.5,"San Diego, CA",41740,"9/11/2022 14:46"
"12/1/2016","2/28/2017",90,"neighborhood",1,557438,"f","San Diego, CA - San Ysidro South","San Diego","California","CA","All Residential",-1,455000,0,0.059988352,520000,0.02970297,0.238095238,261.8811881,0,0.036121153,292.1299,-0.044937693,0.193107688,3,0,-0.625,2,NA,0,5,0.666666667,0,5,0.25,4,NA,NA,NA,66,0,11,0.981528163,0,0.006510558,0,0,-0.25,NA,NA,NA,0.5,NA,0,"San Diego, CA",41740,"9/11/2022 14:46"
"3/1/2013","5/31/2013",90,"neighborhood",1,2491,"f","San Diego, CA - Sorrento Valley","San Diego","California","CA","All Residential",-1,710000,0.021729745,0.245614035,699000,0,0.141317659,296.5641953,0.004660657,0.153990597,320.3125,0.047255494,0.038272653,19,0.1875,0.583333333,4,-0.428571429,0,17,-0.19047619,0.0625,5,0,-0.444444444,NA,NA,NA,10,-11.5,-13.5,1.01387444,0.009537662,0.036306164,0.526315789,0.088815789,0.359649123,NA,NA,NA,0.5,-0.214285714,0.5,"San Diego, CA",41740,"9/11/2022 14:46"
